Lower East Side,"['10002', '10003']"
Greenpoint,['11211']
Southeast Queens,"['11004', '11005', '11411', '11413', '11422', '11426', '11427', '11428']"
Upper East Side,"['10021', '10028', '10044', '10065', '10075']"
Central Brooklyn,"['11212', '11213', '11216', '11233']"
Northwest Queens,"['11101', '11102', '11103', '11104', '11105']"
Southwest Queens,"['11414', '11415', '11416', '11417', '11418', '11419', '11420']"
High Bridge and Morrisania,"['10451', '10452']"
Port Richmond,"['10302', '10303']"
East Harlem,['10029']
Greenwich Village and Soho,"['10012', '10013']"
Bushwick and Williamsburg,"['11206', '11221']"
West Queens,"['11368', '11369', '11370', '11372', '11373', '11377']"
Central Harlem,"['10026', '10027', '10030', '10037']"
Lower Manhattan,"['10004', '10005', '10006', '10007', '10038']"
Hunts Point and Mott Haven,"['10454', '10455', '10459']"
Southwest Brooklyn,"['11209', '11214']"
West Central Queens,"['11374', '11375', '11379']"
North Queens,"['11354', '11355', '11356', '11357', '11358', '11359']"
Northwest Brooklyn,"['11201', '11205', '11215', '11217']"
Stapleton and St. George,"['10301', '10304']"
Central Queens,"['11365', '11366']"
Gramercy Park and Murray Hill,"['10010', '10016', '10017']"
Sunset Park,['11220']
Jamaica,"['11412', '11423', '11432', '11433', '11434', '11435']"
Southeast Bronx,"['10461', '10462', '10464', '10465', '10472']"
South Shore,"['10306', '10307', '10308', '10309']"
Inwood and Washington Heights,"['10031', '10032', '10033', '10034']"
Northeast Bronx,"['10466', '10469', '10470']"
Bronx Park and Fordham,"['10458', '10467']"
Chelsea and Clinton,"['10001', '10011', '10018', '10019', '10020']"
Upper West Side,"['10023', '10024']"
Mid-Island,['10314']
Kingsbridge and Riverdale,['10463']
Northeast Queens,"['11361', '11362', '11363']"
East New York and New Lots,['11207']
Borough Park,"['11204', '11218', '11219']"
Flatbush,"['11203', '11210', '11225']"
Central Bronx,"['10453', '10457']"
Southern Brooklyn,"['11223', '11224', '11229']"
Canarsie and Flatlands,"['11234', '11236']"
Rockaways,"['11691', '11692', '11693', '11694', '11695']"
